book,source,target,weight
1,Alecto / Mrs. Dodds,Annabeth Chase,56
1,Alecto / Mrs. Dodds,Apollo,2
1,Alecto / Mrs. Dodds,Ares,2
1,Alecto / Mrs. Dodds,Chiron,54
1,Alecto / Mrs. Dodds,Gabe Ugliano,4
1,Alecto / Mrs. Dodds,Grover Underwood,110
1,Alecto / Mrs. Dodds,Hades,26
1,Alecto / Mrs. Dodds,Kronos,2
1,Alecto / Mrs. Dodds,Medusa,2
1,Alecto / Mrs. Dodds,Nancy Bobofit,44
1,Alecto / Mrs. Dodds,Percy Jackson,752
1,Alecto / Mrs. Dodds,Poseidon,2
1,Alecto / Mrs. Dodds,Sally Jackson,22
1,Alecto / Mrs. Dodds,Zeus,8
1,Annabeth Chase,Aphrodite,20
1,Annabeth Chase,Apollo,6
1,Annabeth Chase,Ares,170
1,Annabeth Chase,Argus,26
1,Annabeth Chase,Artemis,4
1,Annabeth Chase,Athena,82
1,Annabeth Chase,Cerberus,110
1,Annabeth Chase,Charon,18
1,Annabeth Chase,Chimera,10
1,Annabeth Chase,Chiron,192
1,Annabeth Chase,Clarisse La Rue,92
1,Annabeth Chase,Demeter,4
1,Annabeth Chase,Dionysus,18
1,Annabeth Chase,Echidna,16
1,Annabeth Chase,Gabe Ugliano,18
1,Annabeth Chase,Grover Underwood,958
1,Annabeth Chase,Hades,124
1,Annabeth Chase,Hephaestus,30
1,Annabeth Chase,Hermes,16
1,Annabeth Chase,Kronos,6
1,Annabeth Chase,Luke Castellan,154
1,Annabeth Chase,Medusa,194
1,Annabeth Chase,Nereid,4
1,Annabeth Chase,Oracle,24
1,Annabeth Chase,Pan,20
1,Annabeth Chase,Percy Jackson,4754
1,Annabeth Chase,Poseidon,66
1,Annabeth Chase,Procrustes,56
1,Annabeth Chase,Sally Jackson,80
1,Annabeth Chase,Thalia Grace,40
1,Annabeth Chase,Zeus,64
1,Aphrodite,Apollo,6
1,Aphrodite,Ares,28
1,Aphrodite,Argus,2
1,Aphrodite,Athena,6
1,Aphrodite,Chiron,4
1,Aphrodite,Clarisse La Rue,2
1,Aphrodite,Demeter,10
1,Aphrodite,Dionysus,14
1,Aphrodite,Echidna,2
1,Aphrodite,Grover Underwood,14
1,Aphrodite,Hephaestus,22
1,Aphrodite,Hermes,4
