book,character,degree,weighted_degree,degree_centrality,betweenness_centrality
1,Alecto / Mrs. Dodds,14,1086,0.4117647058823529,0.0025367185794993277
1,Annabeth Chase,32,7432,0.9411764705882353,0.06694884461477728
1,Apollo,20,286,0.5882352941176471,0.006203163280860669
1,Ares,28,2358,0.8235294117647058,0.02847517231757559
1,Chiron,28,4614,0.8235294117647058,0.02819441722398627
1,Gabe Ugliano,17,1416,0.5,0.005344816106848192
1,Grover Underwood,34,8408,1.0,0.08170655669869259
1,Hades,27,2134,0.7941176470588235,0.03565573859691506
1,Kronos,17,640,0.5,0.005693722003882431
1,Medusa,13,1216,0.38235294117647056,0.004323929917670087
1,Nancy Bobofit,11,534,0.3235294117647059,0.0008509019204206369
1,Percy Jackson,34,29684,1.0,0.08170655669869259
1,Poseidon,27,1906,0.7941176470588235,0.031004856205390955
1,Sally Jackson,23,2906,0.6764705882352942,0.017173936417409205
1,Zeus,29,2166,0.8529411764705882,0.032063641681446015
1,Aphrodite,17,268,0.5,0.003138051525909343
1,Argus,12,250,0.3529411764705882,0.0007320665074675768
1,Artemis,12,98,0.3529411764705882,0.0009527608458089739
1,Athena,21,738,0.6176470588235294,0.007627837833877469
1,Cerberus,10,414,0.29411764705882354,0.003279645191409897
1,Charon,9,452,0.2647058823529412,0.0016233766233766233
1,Chimera,10,298,0.29411764705882354,0.00017825311942959
1,Clarisse La Rue,20,918,0.5882352941176471,0.0057716528226122435
1,Demeter,15,104,0.4411764705882353,0.0015698484871180687
1,Dionysus,19,1226,0.5588235294117647,0.005768076482137507
1,Echidna,11,214,0.3235294117647059,0.0007892194310879431
1,Hephaestus,19,250,0.5588235294117647,0.01236254832511517
1,Hermes,21,414,0.6176470588235294,0.011149558735277515
1,Luke Castellan,21,2260,0.6176470588235294,0.007126170754670281
1,Nereid,4,62,0.11764705882352941,0.0
1,Oracle,13,498,0.38235294117647056,0.0005190887543828719
1,Pan,7,180,0.20588235294117646,0.0006571958443616198
1,Procrustes,7,374,0.20588235294117646,0.000445632798573975
1,Thalia Grace,16,478,0.47058823529411764,0.005740620045432881
1,Hera,12,102,0.3529411764705882,0.0017941580107355508
2,Agrius,11,302,0.33333333333333337,0.004237266311129947
2,Annabeth Chase,29,8128,0.8787878787878788,0.0668949999915909
2,Aphrodite,15,114,0.4545454545454546,0.013894034206534208
2,Artemis,5,42,0.15151515151515152,0.0
2,Chiron,21,1918,0.6363636363636364,0.013444552080915715
2,Clarisse La Rue,27,2868,0.8181818181818182,0.04615404061426788
2,Grover Underwood,28,3042,0.8484848484848485,0.060735939145030046
2,Hades,11,76,0.33333333333333337,0.0023035413660413657
2,Luke Castellan,25,2610,0.7575757575757576,0.038265632725860005
2,Oreius,9,326,0.2727272727272727,0.0022328471192107555
2,Percy Jackson,33,21956,1.0,0.16512732322391416
2,Tyson,24,6148,0.7272727272727273,0.027349223798087442
2,Apollo,17,320,0.5151515151515151,0.007543277429641065
2,Ares,18,570,0.5454545454545454,0.013175881357699539
2,Argus,8,56,0.24242424242424243,0.0
2,Athena,16,342,0.48484848484848486,0.004604050200641109
2,Blackbeard,4,60,0.12121212121212122,0.0
2,Circe,11,1100,0.33333333333333337,0.004869399329626602
2,Dionysus,18,512,0.5454545454545454,0.009266953585135403
2,Hephaestus,13,264,0.3939393939393939,0.007380372153099426
2,Hermes,17,1148,0.5151515151515151,0.01594892376142376
2,Kronos,15,470,0.4545454545454546,0.0044094899208535565
2,Oracle,11,270,0.33333333333333337,0.00012626262626262626
2,Pan,7,96,0.21212121212121213,0.00018939393939393942
2,Polyphemus,13,1648,0.3939393939393939,0.005103934365298001
2,Poseidon,22,1042,0.6666666666666667,0.02082872935145662
2,Rainbow,7,280,0.21212121212121213,0.0001721763085399449
2,Sally Jackson,11,464,0.33333333333333337,0.0029115560365560364
2,Tantalus,20,1336,0.6060606060606061,0.009783550834687198
2,Thalia Grace,21,804,0.6363636363636364,0.01536755016868653
2,Zeus,17,336,0.5151515151515151,0.009476618709573255
2,Demeter,5,28,0.15151515151515152,0.0
2,Cerberus,3,18,0.09090909090909091,0.0
2,Medusa,6,58,0.18181818181818182,0.0001721763085399449
3,Annabeth Chase,37,4758,0.925,0.05099111259045172
3,Aphrodite,24,560,0.6000000000000001,0.009677593097454968
3,Apollo,28,1262,0.7000000000000001,0.011941462830960332
3,Ares,26,864,0.65,0.011867273598787052
3,Argus,11,184,0.275,0.00020202020202020205
3,Artemis,30,3824,0.75,0.019345646965913694
3,Athena,26,612,0.65,0.012933494303761034
3,Atlas,19,822,0.47500000000000003,0.004586675133233837
3,Bessie / Ophiotaurus,20,1204,0.5,0.005231950965161254
3,Bianca di Angelo,25,3728,0.625,0.011222952485008928
3,Blackjack,16,814,0.4,0.002036112036112036
3,Chiron,29,2336,0.7250000000000001,0.018958394596195267
