Source,Target,Weight,book,chapter,source_line
Percy Jackson,Chiron,1,1,1,13
Percy Jackson,Chiron,2,1,1,17
Chiron,Percy Jackson,3,1,1,18
Percy Jackson,Chiron,2,1,1,19
Chiron,Percy Jackson,3,1,1,19
Percy Jackson,Chiron,1,1,1,24
Percy Jackson,Nancy Bobofit,1,1,1,28
Percy Jackson,Nancy Bobofit,1,1,1,29
Percy Jackson,Grover Underwood,1,1,1,29
Percy Jackson,Nancy Bobofit,1,1,1,30
Percy Jackson,Grover Underwood,2,1,1,30
Percy Jackson,Nancy Bobofit,1,1,1,32
Percy Jackson,Grover Underwood,2,1,1,32
Nancy Bobofit,Percy Jackson,5,1,1,33
Nancy Bobofit,Grover Underwood,2,1,1,33
Percy Jackson,Nancy Bobofit,1,1,1,33
Percy Jackson,Grover Underwood,2,1,1,33
Grover Underwood,Percy Jackson,4,1,1,34
Grover Underwood,Nancy Bobofit,1,1,1,34
Grover Underwood,Percy Jackson,3,1,1,35
Grover Underwood,Nancy Bobofit,1,1,1,35
Nancy Bobofit,Percy Jackson,5,1,1,41
Nancy Bobofit,Grover Underwood,1,1,1,41
Percy Jackson,Nancy Bobofit,2,1,1,42
Percy Jackson,Grover Underwood,1,1,1,42
Percy Jackson,Nancy Bobofit,2,1,1,43
Percy Jackson,Grover Underwood,2,1,1,43
Percy Jackson,Nancy Bobofit,2,1,1,44
Percy Jackson,Grover Underwood,2,1,1,44
Percy Jackson,Nancy Bobofit,3,1,1,45
Percy Jackson,Grover Underwood,2,1,1,45
Percy Jackson,Nancy Bobofit,3,1,1,46
Percy Jackson,Grover Underwood,2,1,1,46
Grover Underwood,Nancy Bobofit,3,1,1,46
Grover Underwood,Percy Jackson,10,1,1,46
Nancy Bobofit,Percy Jackson,10,1,1,47
Nancy Bobofit,Grover Underwood,2,1,1,47
Nancy Bobofit,Chiron,1,1,1,47
Percy Jackson,Grover Underwood,2,1,1,47
Percy Jackson,Nancy Bobofit,2,1,1,47
Percy Jackson,Chiron,1,1,1,47
Percy Jackson,Grover Underwood,2,1,1,48
Percy Jackson,Nancy Bobofit,2,1,1,48
Percy Jackson,Chiron,1,1,1,48
Grover Underwood,Percy Jackson,9,1,1,48
Grover Underwood,Nancy Bobofit,2,1,1,48
Grover Underwood,Chiron,1,1,1,48
Percy Jackson,Grover Underwood,2,1,1,49
Percy Jackson,Nancy Bobofit,2,1,1,49
Percy Jackson,Chiron,1,1,1,49
Nancy Bobofit,Percy Jackson,8,1,1,50
Nancy Bobofit,Grover Underwood,2,1,1,50
Nancy Bobofit,Chiron,1,1,1,50
Percy Jackson,Grover Underwood,2,1,1,50
Percy Jackson,Nancy Bobofit,2,1,1,50
Percy Jackson,Chiron,1,1,1,50
Percy Jackson,Grover Underwood,2,1,1,51
Percy Jackson,Nancy Bobofit,2,1,1,51
Percy Jackson,Chiron,1,1,1,51
Chiron,Nancy Bobofit,2,1,1,52
Chiron,Percy Jackson,6,1,1,52
Chiron,Grover Underwood,1,1,1,52
Percy Jackson,Nancy Bobofit,1,1,1,54
Percy Jackson,Chiron,1,1,1,54
Percy Jackson,Alecto / Mrs. Dodds,2,1,1,58
Percy Jackson,Alecto / Mrs. Dodds,2,1,1,59
Percy Jackson,Alecto / Mrs. Dodds,3,1,1,60
Percy Jackson,Nancy Bobofit,1,1,1,60
Alecto / Mrs. Dodds,Percy Jackson,5,1,1,60
Alecto / Mrs. Dodds,Nancy Bobofit,1,1,1,60
Percy Jackson,Alecto / Mrs. Dodds,3,1,1,61
Percy Jackson,Nancy Bobofit,1,1,1,61
Alecto / Mrs. Dodds,Percy Jackson,6,1,1,61
Alecto / Mrs. Dodds,Nancy Bobofit,1,1,1,61
Nancy Bobofit,Percy Jackson,7,1,1,65
Nancy Bobofit,Alecto / Mrs. Dodds,4,1,1,65
Nancy Bobofit,Grover Underwood,1,1,1,65
Nancy Bobofit,Chiron,1,1,1,65
Alecto / Mrs. Dodds,Percy Jackson,7,1,1,65
Alecto / Mrs. Dodds,Nancy Bobofit,1,1,1,65
Alecto / Mrs. Dodds,Grover Underwood,1,1,1,65
Alecto / Mrs. Dodds,Chiron,1,1,1,65
Percy Jackson,Alecto / Mrs. Dodds,4,1,1,65
Percy Jackson,Nancy Bobofit,1,1,1,65
Percy Jackson,Grover Underwood,1,1,1,65
Percy Jackson,Chiron,1,1,1,65
Percy Jackson,Alecto / Mrs. Dodds,3,1,1,66
Percy Jackson,Nancy Bobofit,2,1,1,66
Percy Jackson,Grover Underwood,1,1,1,66
Percy Jackson,Chiron,1,1,1,66
Percy Jackson,Nancy Bobofit,2,1,1,67
Percy Jackson,Alecto / Mrs. Dodds,2,1,1,67
Percy Jackson,Grover Underwood,1,1,1,67
Percy Jackson,Chiron,1,1,1,67
Percy Jackson,Nancy Bobofit,2,1,1,68
Percy Jackson,Alecto / Mrs. Dodds,2,1,1,68
Percy Jackson,Grover Underwood,1,1,1,68
Percy Jackson,Chiron,2,1,1,68
Percy Jackson,Nancy Bobofit,2,1,1,69
Percy Jackson,Alecto / Mrs. Dodds,2,1,1,69
Percy Jackson,Grover Underwood,1,1,1,69
Percy Jackson,Chiron,2,1,1,69
Grover Underwood,Nancy Bobofit,2,1,1,69
Grover Underwood,Alecto / Mrs. Dodds,2,1,1,69
Grover Underwood,Percy Jackson,8,1,1,69
Grover Underwood,Chiron,2,1,1,69
Alecto / Mrs. Dodds,Nancy Bobofit,2,1,1,69
Alecto / Mrs. Dodds,Percy Jackson,8,1,1,69
Alecto / Mrs. Dodds,Grover Underwood,1,1,1,69
Alecto / Mrs. Dodds,Chiron,2,1,1,69
Chiron,Nancy Bobofit,2,1,1,70
Chiron,Alecto / Mrs. Dodds,2,1,1,70
Chiron,Percy Jackson,9,1,1,70
Chiron,Grover Underwood,1,1,1,70
Nancy Bobofit,Percy Jackson,9,1,1,71
Nancy Bobofit,Grover Underwood,1,1,1,71
Nancy Bobofit,Alecto / Mrs. Dodds,1,1,1,71
Nancy Bobofit,Chiron,3,1,1,71
Percy Jackson,Grover Underwood,1,1,1,72
Percy Jackson,Alecto / Mrs. Dodds,1,1,1,72
Percy Jackson,Chiron,3,1,1,72
Percy Jackson,Nancy Bobofit,1,1,1,72
Percy Jackson,Kronos,1,1,1,72
Percy Jackson,Grover Underwood,1,1,1,73
